[2025-06-28 22:12:24.955] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-06-28 22:12:24.956] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-06-28 22:12:24.973] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-06-28 22:12:24.973] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-06-28 22:12:24.984] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-06-28 22:12:24.985] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-06-28 22:12:25.002] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-06-28 22:12:25.003] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-06-28 22:12:25.003] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-06-28 22:12:25.004] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-06-28 22:12:25.008] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-06-28 22:12:25.009] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-06-28 22:12:25.025] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-06-28 22:12:25.026] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-06-28 22:12:25.036] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-06-28 22:12:25.039] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-06-28 22:12:25.041] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-06-28 22:12:25.041] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-06-28 22:12:25.043] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-06-28 22:12:25.044] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-06-28 22:12:25.054] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-06-28 22:12:25.054] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
